"","cik","Score","year","distance","cik_str","sic","Revenue","Total.Assets","MV","TobinsQ_1","TobinsQ_2","TobinsQ.before","RevenueGrowth","RevenueGrowthAbs","TobinsQGrowth","AssetGrowth","MVGrowth","FirmSize","NormalizedDistance","Industry"
"43",21665,0.916901767253876,2017,0.0830982327461243,21665,"2844",15454000,12488000,63438.23,5.539,5.87,5.76,1.7,259000,-7.64,5.63,0.42,"Micro_Nano_Cap",-19.9731397320515,135
"44",22701,0.894302845001221,2017,0.105697154998779,22701,"3661",82323,58108,36,0.332,0.706,0.394,-17.14,-17030,-31.31,-20.59,-24.91,"Micro_Nano_Cap",1.79050954849003,44
"45",23111,0.937303841114044,2017,0.0626961588859558,23111,"",301210,123774,81.17,0.596,0.713,0.539,-7.29,-23683,21.04,2.38,6.42,"Micro_Nano_Cap",-39.6211377703758,105
"46",24491,0.886144161224365,2017,0.113855838775635,24491,"",2854656,2549070,1850.11,0.811,0.883,0.802,-2.4,-70213,2.23,2.56,-8.15,"Micro_Nano_Cap",9.6476423057597,234
"47",24545,0.893897235393524,2017,0.106102764606476,24545,"2082",11002800,30246900,17448.65,0.949,0.969,1.06,125.24,6117800,-20.84,3.09,-11.21,"Micro_Nano_Cap",2.18112752345512,12
"48",24741,0.872572302818298,2017,0.127427697181702,24741,"3357",10116000,26681000,26120.07,1.137,1.262,0.93,7.73,726000,44.29,4.33,12.56,"Micro_Nano_Cap",22.7178747324457,144
"49",25445,0.892134249210358,2017,0.107865750789642,25445,"3490",2786000,3489300,4445.6,1.443,1.608,1.236,1.38,38000,33.33,7.49,22.58,"Micro_Nano_Cap",3.87895242624969,106
"50",25743,0.887930512428284,2017,0.112069487571716,25743,"2834",16778,143230,1332.3,6.215,6.921,7.5,-13.32,-2578,-34.1,0.53,4.48,"Micro_Nano_Cap",7.92731597075551,27
"51",26058,0.886309921741486,2017,0.113690078258514,26058,"3672",422993,519002,745.94,1.504,1.778,1.272,6.63,26314,36.3,9.99,25.46,"Micro_Nano_Cap",9.48800842061965,185
"52",26324,0.906475782394409,2017,0.0935242176055908,26324,"3590",2271026,3236321,4324.63,1.597,1.795,1.508,7.69,162095,11.74,6.54,12.18,"Micro_Nano_Cap",-9.93250702625915,22
"53",26780,0.924939215183258,2017,0.0750607848167419,26780,"3714",7209000,5224000,3527.38,1.05,1.13,0.683,23.74,1383000,106.93,22.28,70.66,"Micro_Nano_Cap",-27.7135176089274,117
"54",27904,0.895241141319275,2017,0.104758858680725,27904,"4512",41244000,52357000,35933.57,0.807,0.904,0.688,4.05,1605000,34.42,8.63,27.1,"Micro_Nano_Cap",0.886893360113783,225
"55",27996,0.874436497688293,2017,0.125563502311707,27996,"2780",1965556,2207399,3349.73,1.935,1.933,1.951,6.3,116494,-1.63,1.13,1.72,"Micro_Nano_Cap",20.9225818911514,185
"56",29002,0.926321148872375,2017,0.0736788511276245,29002,"3674",1054204,1448093,1355.9,1.076,1.298,0.825,11.89,112042,60.54,-1.66,41.43,"Micro_Nano_Cap",-29.0443740012221,117
"57",29332,0.903637588024139,2017,0.0963624119758606,29332,"2273",412462,282838,60.29,0.664,0.701,0.697,3.78,15009,-9.42,5.15,-12.57,"Micro_Nano_Cap",-7.19921443053363,101
"58",29669,0.892448723316193,2017,0.107551276683807,29669,"",6939600,3822800,697.2,0.72,0.739,0.934,0.64,43900,-45.6,-8.45,-79.62,"Micro_Nano_Cap",3.57610151722458,131
"59",29905,0.911062896251678,2017,0.0889371037483215,29905,"3530",7830436,10657653,13695.27,1.657,1.717,1.511,15.25,1036094,19.23,5.35,27.78,"Micro_Nano_Cap",-14.3500777441633,106
"60",29989,0.928022503852844,2017,0.0719774961471558,29989,"7311",15273600,24931200,16923.5,0.941,0.892,1.114,-0.93,-143300,-30.9,7.62,-14.57,"Micro_Nano_Cap",-30.6828456364026,32
"61",30305,0.885993301868439,2017,0.114006698131561,30305,"3728",558183,566492,321.92,0.98,1.067,0.811,1.37,7541,41.47,9.97,30.56,"Micro_Nano_Cap",9.79292578770481,126
"62",30625,0.908676564693451,2017,0.0913234353065491,30625,"3561",3660831,4858500,5254.23,1.403,1.518,1.597,-8.28,-330631,-24.17,4.36,-12.85,"Micro_Nano_Cap",-12.0519467749198,117
"63",31107,0.863035798072815,2017,0.136964201927185,31107,"3420",204240,174448,165.25,1.112,1.293,0.875,48.42,66632,53.9,44.63,34.44,"Micro_Nano_Cap",31.9019031707283,106
"64",31235,0.865013241767883,2017,0.134986758232117,31235,"3861",1531000,1519000,310.17,0.245,0.451,0.435,-0.78,-12000,-86.92,-12.75,-49.33,"Micro_Nano_Cap",29.9975472651528,307
"65",31347,0.909698903560638,2017,0.0903010964393616,31347,"",31667,31539,21.47,0.007,0.749,-0.005,-2.22,-718,-477.6,-4.16,-6.98,"Micro_Nano_Cap",-13.0364992373152,117
"66",31462,0.903961896896362,2017,0.0960381031036377,31462,"2840",13838300,19860200,37570.37,2.253,2.319,2.296,5.21,685500,-3.73,8.9,8.56,"Micro_Nano_Cap",-7.51153660566736,117
"67",31978,0.93817412853241,2017,0.0618258714675903,31978,"",916797,3484363,2218.34,1.024,1.07,0.952,3.37,29861,15.05,3.2,13.04,"Micro_Nano_Cap",-40.4592587185705,52
"68",33185,0.911650478839874,2017,0.0883495211601257,33185,"7320",3362200,7233400,13616.54,2.133,2.196,2.772,6.91,217300,-45.87,8.54,-12.96,"Micro_Nano_Cap",-14.9159428429444,19
"69",33213,0.874505519866943,2017,0.125494480133057,33213,"1311",3041339,29522604,10569.48,1.094,0.619,1.126,63.75,1184000,-5.66,90.8,-15.65,"Micro_Nano_Cap",20.8561108235527,38
"70",33488,0.903303623199463,2017,0.0966963768005371,33488,"3949",177333,156105,175.25,1.394,1.418,1.304,5.78,9683,13.73,3.54,2.25,"Micro_Nano_Cap",-6.87759319412962,256
"71",34067,0.934158265590668,2017,0.0658417344093323,34067,"3390",192803,172985,198.67,1.593,1.637,0.968,21.58,34228,128.49,6.42,33.27,"Micro_Nano_Cap",-36.5918250575459,144
"72",34088,0.95576536655426,2017,0.0442346334457397,34088,"2911",237162000,348691000,335790.5,1.118,1.123,1.206,20.07,39644000,-14.52,5.56,-6.75,"Mid_Cap",-57.4003115014351,310
"73",35214,0.911755740642548,2017,0.0882442593574524,35214,"",1396742,1574177,1803.61,1.714,1.717,1.416,21.96,251450,41.88,33.71,69.3,"Micro_Nano_Cap",-15.0173140911132,106
"74",36047,0.898294568061829,2017,0.101705431938171,36047,"",1851117,4077047,3864.71,1.318,1.445,1.222,-5.2,-101440,15.63,4.38,9.81,"Micro_Nano_Cap",-2.05367645935881,NA
"75",37785,0.868124842643738,2017,0.131875157356262,37785,"2800",2878600,8953600,11933.4,2.341,1.761,1.406,-12.3,-403800,132.34,51.9,98.8,"Micro_Nano_Cap",27.0009534716073,106
"76",37996,0.895278573036194,2017,0.104721426963806,37996,"3711",156776000,246835000,44509.27,0.663,0.819,0.674,3.28,4976000,-3.25,8.14,-7.87,"Micro_Nano_Cap",0.850845147288215,191
"77",38725,0.883665978908539,2017,0.116334021091461,38725,"3621",1124909,1176424,1792.22,1.931,1.97,1.929,18.43,175053,0.21,13.63,4.73,"Micro_Nano_Cap",12.0342291602965,117
"78",39368,0.958122372627258,2017,0.0418776273727417,39368,"2891",2306043,4317224,2755.59,1.411,1.232,1.418,10.09,211438,-0.98,114.57,17.54,"Micro_Nano_Cap",-59.670200877191,106
"79",39677,0.935582280158997,2017,0.0644177198410034,39677,"",844316,939779,372.76,0.736,0.912,0.892,8.34,64995,-34.8,28.74,-0.62,"Micro_Nano_Cap",-37.963206988463,9
"80",39899,0.838291108608246,2017,0.161708891391754,39899,"4833",1903026,4962115,2605.05,1.106,1.154,1.056,-43.04,-1438172,9.42,-41.91,-42.45,"Micro_Nano_Cap",55.7320105113349,324
"81",40211,0.968030452728271,2017,0.0319695472717285,40211,"4700",1376900,7422400,2263.18,0.888,0.918,0.816,-2.92,-41400,17.56,4.46,33.89,"Micro_Nano_Cap",-69.2120709695415,79
"82",40533,0.888448894023895,2017,0.111551105976105,40533,"3730",30973000,35046000,59991.16,1.82,1.932,1.495,-1.21,-380000,43.26,6.61,31.09,"Micro_Nano_Cap",7.42809414441146,224
